1.66277	0.568449	-213329	-146307	-146307	0
1.68009	0.549846	-205567	-142087	-142087	0
1.69741	0.532296	-198269	-138082	-138082	0
1.71473	0.515708	-191395	-134277	-134277	0
1.73205	0.500005	-184911	-130654	-130654	0
1.74937	0.485116	-178784	-127201	-127201	0
1.76669	0.470978	-172986	-123905	-123905	0
1.78401	0.457534	-167492	-120755	-120755	0
1.80133	0.444735	-162281	-117741	-117741	0
1.81865	0.432535	-157330	-114854	-114854	0
1.83597	0.420892	-152622	-112086	-112086	0
1.85329	0.409771	-148140	-109429	-109429	0
1.87061	0.399135	-143868	-106877	-106877	0
1.88794	0.388955	-139794	-104423	-104423	0
1.90526	0.379203	-135903	-102062	-102062	0
1.92258	0.369852	-132186	-99788	-99788	0
1.9399	0.360878	-128630	-97597.1	-97597.1	0
1.95722	0.352259	-125226	-95484.5	-95484.5	0
1.97454	0.343976	-121965	-93446.1	-93446.1	0
1.99186	0.336009	-118839	-91478	-91478	0
2.00918	0.328341	-115839	-89576.8	-89576.8	0
2.0265	0.320957	-112960	-87739.1	-87739.1	0
2.04382	0.313841	-110194	-85961.8	-85961.8	0
2.06114	0.306979	-107535	-84242.1	-84242.1	0
2.07846	0.300358	-104977	-82577.3	-82577.3	0
2.09578	0.293967	-102515	-80964.8	-80964.8	0
2.1131	0.287794	-100144	-79402.4	-79402.4	0
2.13042	0.281829	-97859.9	-77887.8	-77887.8	0
2.14774	0.276061	-95657.6	-76418.9	-76418.9	0
2.16506	0.270482	-93533.4	-74993.8	-74993.8	0
2.18238	0.265082	-91483.3	-73610.6	-73610.6	0
2.1997	0.259854	-89503.9	-72267.6	-72267.6	0
2.21703	0.254791	-87591.8	-70963.1	-70963.1	0
2.23435	0.249883	-85743.8	-69695.6	-69695.6	0
2.25167	0.245126	-83957.1	-68463.6	-68463.6	0
2.26899	0.240513	-82228.7	-67265.7	-67265.7	0
2.28631	0.236036	-80556.2	-66100.6	-66100.6	0
2.30363	0.231692	-78937.1	-64967	-64967	0
2.32095	0.227474	-77368.9	-63863.7	-63863.7	0
2.33827	0.223377	-75849.5	-62789.7	-62789.7	0
2.35559	0.219396	-74376.9	-61743.7	-61743.7	0
2.37291	0.215528	-72949	-60724.9	-60724.9	0
2.39023	0.211766	-71564	-59732.2	-59732.2	0
2.40755	0.208108	-70220.2	-58764.8	-58764.8	0
2.42487	0.204549	-68915.8	-57821.6	-57821.6	0
2.44219	0.201086	-67649.3	-56901.9	-56901.9	0
2.45951	0.197714	-66419.2	-56004.9	-56004.9	0
2.47683	0.194432	-65224	-55129.7	-55129.7	0
2.49415	0.191234	-64062.4	-54275.7	-54275.7	0
2.51147	0.188119	-62933.1	-53442.2	-53442.2	0
2.52879	0.185084	-61834.8	-52628.4	-52628.4	0
2.54611	0.182125	-60766.5	-51833.8	-51833.8	0
2.56344	0.179239	-59727	-51057.7	-51057.7	0
2.58076	0.176426	-58715.1	-50299.5	-50299.5	0
2.59808	0.173681	-57730.1	-49558.6	-49558.6	0
2.6154	0.171002	-56770.7	-48834.6	-48834.6	0
2.63272	0.168388	-55836.2	-48126.9	-48126.9	0
2.65004	0.165837	-54925.7	-47434.9	-47434.9	0
2.66736	0.163345	-54038.3	-46758.2	-46758.2	0
2.68468	0.160912	-53173.2	-46096.4	-46096.4	0
2.702	0.158535	-52329.6	-45448.9	-45448.9	0
2.71932	0.156213	-51506.9	-44815.5	-44815.5	0
2.73664	0.153943	-50704.3	-44195.6	-44195.6	0
2.75396	0.151725	-49921.1	-43588.8	-43588.8	0
2.77128	0.149556	-49156.8	-42994.8	-42994.8	0
2.7886	0.147436	-48410.6	-42413.3	-42413.3	0
2.80592	0.145362	-47682.1	-41843.7	-41843.7	0
2.82324	0.143333	-46970.5	-41285.9	-41285.9	0
2.84056	0.141348	-46275.5	-40739.5	-40739.5	0
2.85788	0.139406	-45596.4	-40204.2	-40204.2	0
2.8752	0.137504	-44932.8	-39679.6	-39679.6	0
2.89252	0.135644	-44284.2	-39165.5	-39165.5	0
2.90985	0.133822	-43650.1	-38661.6	-38661.6	0
2.92717	0.132037	-43030.1	-38167.6	-38167.6	0
